set_num,name,year,num_parts,theme_name,parent_theme,is_licensed,total_sets
10045-1,Pillars and Beams,2002,13.0,Bulk Bricks,Bulk Bricks,False,136
10046-1,Brown Tiles,2002,100.0,Bulk Bricks,Bulk Bricks,False,136
10047-1,Light Gray Arches,2002,,Bulk Bricks,Bulk Bricks,False,136
10048-1,Small Wheels and Axles,2002,61.0,Bulk Bricks,Bulk Bricks,False,136
10049-1,Large Wheels and Axles,2002,,Bulk Bricks,Bulk Bricks,False,136
10050-1,Gray Fences,2002,34.0,Bulk Bricks,Bulk Bricks,False,136
10051-1,Transparent Bricks,2002,,Bulk Bricks,Bulk Bricks,False,136
10053-1,Black Slopes 33,2003,,Bulk Bricks,Bulk Bricks,False,136
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,,Bulk Bricks,Bulk Bricks,False,136
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,50.0,Bulk Bricks,Bulk Bricks,False,136
10056-1,White Plates 2 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10057-1,Black Plates 2 x n,2002,56.0,Bulk Bricks,Bulk Bricks,False,136
10058-1,Red Plates 2 x n,2002,56.0,Bulk Bricks,Bulk Bricks,False,136
10059-1,Dark Green Plates 2 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10060-1,Light Gray Plates 2 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10061-1,Black Plates 1 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10062-1,Red Plates 1 x n,2002,84.0,Bulk Bricks,Bulk Bricks,False,136
10063-1,Dark Green Plates 1 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10064-1,Light Gray Plates 1 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10065-1,White Plates 1 x n,2002,,Bulk Bricks,Bulk Bricks,False,136
10066-1,Castle Accessories,2002,41.0,Castle,Bulk Bricks,False,136
10067-1,Mini-Fig Headgear,2002,,Bulk Bricks,Bulk Bricks,False,136
10068-1,Santa Claus,2002,,Christmas,Seasonal,False,928
10069-1,Christmas Tree,2002,,Christmas,Seasonal,False,928
10070-1,Reindeer,2002,,Christmas,Seasonal,False,928
10071-1,Mr. Bunny,2003,25.0,Easter,Seasonal,False,928
10072-1,TECHNIC Beams,2003,,Technic,Bulk Bricks,False,136
10073-1,Bushes,2003,,Technic,Bulk Bricks,False,136
10074-1,Cross Axles,2003,68.0,Technic,Bulk Bricks,False,136
10075-1,Spider-Man Action Pack,2002,25.0,Spider-Man,Super Heroes,True,242
10076-1,TECHNIC Gear Wheels,2002,38.0,Technic,Bulk Bricks,False,136
10077-1,TECHNIC Motor,2003,55.0,Technic,Bulk Bricks,False,136
10078-1,Train Connection Wire,2003,1.0,Train,Bulk Bricks,False,136
10079-1,Snowman,2003,42.0,Christmas,Seasonal,False,928
10080-1,Angel,2003,33.0,Christmas,Seasonal,False,928
10081-1,Birthday Pack Heart,2004,70.0,Clikits,Clikits,False,55
10082-1,Birthday Pack Daisy,2004,70.0,Clikits,Clikits,False,55
10083-1,Birthday Pack Star,2004,,Clikits,Clikits,False,55
10090-1,Turkey,2003,,Thanksgiving,Seasonal,False,928
10106-1,Snowflake,2006,107.0,Christmas,Seasonal,False,928
101-1,4.5V Battery Case,1969,,4.5V,Train,False,281
10111-1,Foliferous Tree,2001,,Bulk Bricks,Bulk Bricks,False,136
10112-1,Bush,2001,,Bulk Bricks,Bulk Bricks,False,136
10113-1,Cypress Trees,2001,5.0,Bulk Bricks,Bulk Bricks,False,136
10114-1,2 x 2 Sand Red Roof Tiles,2001,100.0,Bulk Bricks,Bulk Bricks,False,136
10115-1,Jumper Bricks,2001,,Bulk Bricks,Bulk Bricks,False,136
10116-1,Accessories Heart,2004,,Clikits,Clikits,False,55
10117-1,Accessories Daisy,2004,50.0,Clikits,Clikits,False,55
10118-1,Accessories Star,2004,,Clikits,Clikits,False,55
10121-1,NBA Basketball Teams,2003,,Basketball,Sports,False,168
10123-1,Cloud City,2003,707.0,Star Wars Episode 4/5/6,Star Wars,True,609
10124-1,Wright Flyer,2003,663.0,Sculptures,Sculptures,False,30
10127-1,NHL Action Set with Stickers,2003,56.0,Hockey,Sports,False,168
10128-1,Train Level Crossing,2003,,World City,Train,False,281
10129-1,Rebel Snowspeeder - UCS,2003,1456.0,Star Wars Episode 4/5/6,Star Wars,True,609
101-3,4.5V Battery Case,1966,1.0,4.5V,Train,False,281
10131-1,TIE Fighter Collection,2004,,Star Wars Episode 4/5/6,Star Wars,True,609
10132-1,Motorized Hogwarts Express,2004,,Harry Potter,Harry Potter,True,67
10133-1,Burlington Northern Santa Fe Locomotive,2004,400.0,9V,Train,False,281
10134-1,Y-wing Attack Starfighter - UCS,2004,,Star Wars Episode 4/5/6,Star Wars,True,609
10143-1,Death Star II,2005,,Star Wars Episode 4/5/6,Star Wars,True,609
10144-1,Sandcrawler,2005,1679.0,Star Wars Episode 4/5/6,Star Wars,True,609
10145-1,Assorted Light Gray Bricks,2004,124.0,Bulk Bricks,Bulk Bricks,False,136
10146-1,Assorted Dark Gray Bricks,2004,,Bulk Bricks,Bulk Bricks,False,136
10147-1,Assorted Brown Bricks,2004,62.0,Bulk Bricks,Bulk Bricks,False,136
10148-1,Assorted Light Gray Plates,2004,84.0,Bulk Bricks,Bulk Bricks,False,136
10149-1,Assorted Dark Gray Plates,2004,42.0,Bulk Bricks,Bulk Bricks,False,136
10150-1,Assorted Brown Plates,2004,,Bulk Bricks,Bulk Bricks,False,136
10151-1,Hot Rod,2004,,Model Team,Model Team,False,16
10152-1,Maersk Sealand Container Ship 2004 Edition,2004,,Sculptures,Sculptures,False,30
10152-2,Maersk Sealand Container Ship 2005 Edition,2005,982.0,Sculptures,Sculptures,False,30
10152-3,Maersk Line Container Ship 2006 Edition,2006,,Sculptures,Sculptures,False,30
10153-1,Electric Train Motor 9V (My Own Train),2002,,9V,Train,False,281
10155-1,Maersk Line Container Ship 2010 Edition,2010,,Sculptures,Sculptures,False,30
10156-1,LEGO Truck,2004,105.0,Traffic,Town,False,1116
10157-1,High Speed Train Locomotive,2004,,World City,Train,False,281
10158-1,High Speed Train Car,2004,151.0,World City,Train,False,281
10159-1,City Airport -City Logo Box,2004,913.0,Airport,Town,False,1116
10159-2,City Airport -Full Size Image Box,2004,913.0,Airport,Town,False,1116
10160-1,Black Ridge Roof Tiles,2004,,Bulk Bricks,Bulk Bricks,False,136
10161-1,Black Roof Tiles,2004,76.0,Bulk Bricks,Bulk Bricks,False,136
10162-1,Red Ridge Tiles,2004,,Bulk Bricks,Bulk Bricks,False,136
10163-1,Red Roof Tiles,2004,76.0,Bulk Bricks,Bulk Bricks,False,136
10165-1,Elf Boy,2004,27.0,Christmas,Seasonal,False,928
10166-1,Elf Girl,2004,31.0,Christmas,Seasonal,False,928
10167-1,Brickmaster Kit (with Digital Designer CD),2004,182.0,Other,Other,False,75
10168-1,Mrs. Bunny,2005,64.0,Easter,Seasonal,False,928
10169-1,Chicken & Chicks,2005,60.0,Easter,Seasonal,False,928
10170-1,TTX Intermodal Double-Stack Car,2005,365.0,9V,Train,False,281
10173-1,Holiday Train,2006,969.0,9V,Train,False,281
10174-1,Imperial AT-ST - UCS,2006,,Star Wars Episode 4/5/6,Star Wars,True,609
10175-1,Vader's TIE Advanced - UCS,2006,,Star Wars Episode 4/5/6,Star Wars,True,609
10176-1,Royal King's Castle,2006,,Knights Kingdom I,Castle,False,256
10177-1,Boeing 787 Dreamliner,2006,1196.0,Sculptures,Sculptures,False,30
10178-1,Motorized Walking AT-AT,2007,1137.0,Star Wars Episode 4/5/6,Star Wars,True,609
10179-1,Millennium Falcon - UCS,2007,5195.0,Star Wars Episode 4/5/6,Star Wars,True,609
10181-1,Eiffel Tower 1:300 Scale,2007,3428.0,Sculptures,Sculptures,False,30
10182-1,Cafe Corner,2007,,Modular Buildings,Modular Buildings,False,21
10183-1,Hobby Train,2007,1080.0,Factory,Factory,False,40
10184-1,Town Plan,2008,2017.0,Town Plan,Town,False,1116
10185-1,Green Grocer,2008,,Modular Buildings,Modular Buildings,False,21
10186-1,General Grievous,2008,1084.0,Star Wars Episode 3,Star Wars,True,609
10187-1,Volkswagen Beetle (VW Beetle),2008,,Sculptures,Sculptures,False,30
10188-1,Death Star,2008,,Star Wars Episode 4/5/6,Star Wars,True,609
10189-1,Taj Mahal,2008,5922.0,Sculptures,Sculptures,False,30
10190-1,Market Street,2007,,Modular Buildings,Modular Buildings,False,21
10191-1,Star Justice,2008,884.0,Factory,Factory,False,40
10192-1,Space Skulls,2008,956.0,Factory,Factory,False,40
10193-1,Medieval Market Village,2009,1616.0,Fantasy Era,Castle,False,256
10194-1,Emerald Night,2009,,RC Train,Train,False,281
10195-1,Republic Dropship with AT-OT,2009,,Star Wars Clone Wars,Star Wars,True,609
10196-1,Grand Carousel,2009,3260.0,Sculptures,Sculptures,False,30
10197-1,Fire Brigade,2009,,Modular Buildings,Modular Buildings,False,21
10198-1,Tantive IV,2009,,Star Wars Episode 4/5/6,Star Wars,True,609
10199-1,Winter Toy Shop,2009,,Christmas,Seasonal,False,928
10-2,Universal Building Set,1976,129.0,Basic Set,Universal Building Set,False,441
10200-1,Custom Car Garage,2008,,Factory,Factory,False,40
10201-1,Takutanuva,2003,,Titans,Bionicle,False,417
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,6.0,Titans,Bionicle,False,417
10202-2,Ultimate Dume,2004,,Titans,Bionicle,False,417
10203-1,Voporak,2005,,Titans,Bionicle,False,417
10204-1,Vezon & Kardas,2006,3.0,Titans,Bionicle,False,417
10205-1,Locomotive,2002,231.0,My Own Train,Train,False,281
102-1,4.5V Motor Set,1968,24.0,4.5V,Train,False,281
10210-1,Imperial Flagship,2010,1656.0,Pirates II,Pirates,False,88
10211-1,Grand Emporium,2010,,Modular Buildings,Modular Buildings,False,21
10212-1,Imperial Shuttle - UCS,2010,,Star Wars Episode 4/5/6,Star Wars,True,609
10213-1,Shuttle Adventure,2010,,Sculptures,Sculptures,False,30
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,29.0,Service Packs,Service Packs,False,456
10214-1,Tower Bridge,2010,,Sculptures,Sculptures,False,30
10215-1,Obi-Wan's Jedi Starfighter - UCS,2010,,Star Wars Episode 2,Star Wars,True,609
10216-1,Winter Village Bakery,2010,686.0,Christmas,Seasonal,False,928
10217-1,Diagon Alley,2011,2031.0,Harry Potter,Harry Potter,True,67
10218-1,Pet Shop,2011,2034.0,Modular Buildings,Modular Buildings,False,21
10219-1,Maersk Container Train,2011,1232.0,RC Train,Train,False,281
10220-1,Volkswagen T1 Camper Van,2011,,Sculptures,Sculptures,False,30
10221-1,Super Star Destroyer,2011,,Star Wars Episode 4/5/6,Star Wars,True,609
10222-1,Winter Village Post Office,2011,821.0,Christmas,Seasonal,False,928
10223-1,Kingdoms Joust,2012,1574.0,Kingdoms,Castle,False,256
10224-1,Town Hall,2012,,Modular Buildings,Modular Buildings,False,21
10225-1,R2-D2,2012,2130.0,Ultimate Collector Series,Star Wars,True,609
10226-1,Sopwith Camel,2012,877.0,Sculptures,Sculptures,False,30
10227-1,B-wing Starfighter,2012,,Star Wars Episode 4/5/6,Star Wars,True,609
10228-1,Haunted House,2012,2062.0,Monster Fighters,Monster Fighters,False,15
10229-1,Winter Village Cottage,2012,1490.0,Christmas,Seasonal,False,928
10230-1,Mini Modulars,2012,,Mini,Modular Buildings,False,21
10231-1,Shuttle Expedition,2011,1229.0,Sculptures,Sculptures,False,30
10232-1,Palace Cinema,2013,2193.0,Modular Buildings,Modular Buildings,False,21
10233-1,Horizon Express,2013,1349.0,RC Train,Train,False,281
10234-1,Sydney Opera House,2013,,Sculptures,Sculptures,False,30
10235-1,Winter Village Market [Initial Release],2013,,Christmas,Seasonal,False,928
10236-1,Ewok Village,2013,2023.0,Star Wars Episode 4/5/6,Star Wars,True,609
10237-1,The Tower of Orthanc,2013,,The Two Towers,The Hobbit and Lord of the Rings,True,40
10240-1,Red Five X-Wing Starfighter,2013,,Star Wars Episode 4/5/6,Star Wars,True,609
10241-1,Maersk Line Triple-E,2014,1515.0,Model,Creator,False,421
10242-1,Mini Cooper,2014,,Creator,Creator,False,421
10242-2,Mini Cooper,2015,1076.0,Creator,Creator,False,421
10243-1,Parisian Restaurant,2014,,Modular Buildings,Modular Buildings,False,21
10244-1,Fairground Mixer,2014,,Creator,Creator,False,421
10245-1,Santa’s Workshop,2014,,Creator,Seasonal,False,928
1024601-1,Adventurers Value Pack (TRU Exclusive),2001,3.0,Desert,Adventurers,False,83
10246-1,Detective’s Office,2015,2261.0,Modular Buildings,Modular Buildings,False,21
10247-1,Ferris Wheel,2015,2463.0,Creator,Creator,False,421
10248-1,Ferrari F40,2015,,Creator,Creator,False,421
10249-1,Winter Toy Shop,2015,,Christmas,Seasonal,False,928
10250-1,Year Of The Snake,2013,244.0,Creator,Creator,False,421
10251-1,Brick Bank,2016,2383.0,Modular Buildings,Modular Buildings,False,21
10252-1,Volkswagen Beetle,2016,,Creator,Creator,False,421
10253-1,Big Ben,2016,4166.0,Building,Creator,False,421
10254-1,Winter Holiday Train,2016,,Christmas,Seasonal,False,928
10255-1,Assembly Square,2017,4009.0,Modular Buildings,Modular Buildings,False,21
10257-1,Carousel,2017,2669.0,Creator,Creator,False,421
10258-1,London Bus,2017,,Creator,Creator,False,421
10285-1,Compass Sensor for Mindstorms NXT,2011,1.0,NXT,Mindstorms,False,83
10287-1,Intelligent NXT Brick (Black),2009,1.0,NXT,Mindstorms,False,83
1029-1,Milk Delivery Truck - Tine,1999,90.0,Food & Drink,Town,False,1116
102A-1,Front-End Loader,1970,64.0,Construction,Legoland,False,142
102A-2,Front-End Loader,1970,,Construction,Legoland,False,142
10-3,Locomotive Wheels,1977,8.0,Train,Service Packs,False,456
1030-1,TECHNIC I: Simple Machines Set,1985,,Technic,Technic,False,536
103-1,4.5V Motor Set with Rubber Tracks,1969,24.0,Supplemental,Universal Building Set,False,441
1031-1,Building Cards - 1030,1983,20.0,Supplemental,Educational and Dacta,False,333
1032-1,TECHNIC II Set {4.5v},1985,279.0,Technic,Technic,False,536
1033-1,Building Cards - 1032,1985,20.0,Supplemental,Educational and Dacta,False,333
1034-1,Teachers Resource Set,1985,,Supplemental,Educational and Dacta,False,333
1038-1,ERBIE the Robo-Car,1985,120.0,Technic,Technic,False,536
1039-1,Manual Control Set 1,1986,39.0,Technic,Technic,False,536
104-1,Replacement 4.5V Motor,1970,,4.5V,Train,False,281
1045-2,Educational LEGO Building Set,1976,,Building Set with People,Educational and Dacta,False,333
1049-1,Ships - 247 elements and 1 poster,1985,238.0,Boat,Educational and Dacta,False,333
10500-1,Horse Stable,2013,44.0,Duplo,Duplo,False,286
10501-1,Zoo friends,2013,5.0,Duplo,Duplo,False,286
10504-1,My First Circus,2013,62.0,Duplo,Duplo,False,286
10505-1,Play House,2013,83.0,Duplo,Duplo,False,286
10506-1,Train Accessory Set,2013,24.0,Duplo,Duplo,False,286
10507-1,My First Train Set,2013,,Duplo,Duplo,False,286
10508-1,Deluxe Train Set,2013,,Duplo,Duplo,False,286
10509-1,Dusty and Chug,2013,16.0,Duplo,Duplo,False,286
105-1,Canada Post Truck,1984,,Post Office,Town,False,1116
10510-1,Ripslinger's Air Race,2013,40.0,Duplo,Duplo,False,286
10511-1,Skipper's Flight School,2013,,Duplo,Duplo,False,286
10512-1,Jake's Treasure Hunt,2013,22.0,Duplo,Duplo,False,286
10513-1,Never Land Hideout,2013,37.0,Duplo,Duplo,False,286
10514-1,Jake's Pirate Ship Bucky,2013,56.0,Duplo,Duplo,False,286
10515-1,Ariel's Undersea Castle,2013,,Duplo,Duplo,False,286
10516-1,Ariel's Magical Boat Ride,2012,,Duplo,Duplo,False,286
10517-1,My First Garden,2013,,Duplo,Duplo,False,286
10518-1,My First Construction Site,2013,,Duplo,Duplo,False,286
105-2,Building Set,1973,,Basic Set,Universal Building Set,False,441
10520-1,Big Front Loader,2013,,Duplo,Duplo,False,286
10521-1,Baby Calf,2014,9.0,Duplo,Duplo,False,286
10522-1,Farm Animals,2014,12.0,Duplo,Duplo,False,286
10524-1,Farm Tractor,2014,29.0,Duplo,Duplo,False,286
10525-1,Big Farm,2014,,Duplo,Duplo,False,286
10526-1,Peter Pan's Visit,2014,,Duplo,Duplo,False,286
10527-1,Ambulance,2014,14.0,Duplo,Duplo,False,286
10528-1,School Bus,2014,,Duplo,Duplo,False,286
10529-1,Truck,2014,,Duplo,Duplo,False,286
1053-1,Community Buildings,1984,,Town,Educational and Dacta,False,333
10531-1,Mickey Mouse and Friends,2012,,Duplo,Duplo,False,286
10532-1,My First Police Set,2014,39.0,Duplo,Duplo,False,286
10538-1,Fire and Rescue Team,2014,30.0,Cars,Duplo,False,286
10539-1,Beach Racing,2014,,Duplo,Duplo,False,286
1054-1,Stena Line Ferry,1999,211.0,Ferries,Universal Building Set,False,441
10542-1,Sleeping Beauty's Fairy Tale,2014,55.0,Disney Princess,Disney Princess,True,29
10543-1,Superman™ Rescue,2014,,Duplo,Duplo,False,286
10544-1,The Joker Challenge,2014,40.0,Duplo,Duplo,False,286
10545-1,Batcave Adventure,2014,,Duplo,Duplo,False,286
10546-1,My First Shop,2014,39.0,Duplo,Duplo,False,286
10550-1,Circus Transport,2013,9.0,Duplo,Duplo,False,286
10552-1,Creative Cars,2013,42.0,Duplo,Duplo,False,286
10553-1,Toddler Build and Play Cubes,2013,,Basic Set,Duplo,False,286
10554-1,Toddler Build and Pull Along,2013,15.0,Basic Set,Duplo,False,286
10555-1,Creative Bucket,2013,65.0,Basic Set,Duplo,False,286
10557-1,Giant Tower,2013,,Duplo,Duplo,False,286
10558-1,Number Train,2013,,Duplo,Duplo,False,286
1056-1,Basic School Pack - 773 elements with teacher's manual,1985,785.0,Universal Building Set,Educational and Dacta,False,333
10561-1,Toddler Starter Building Set,2013,37.0,Basic Set,Duplo,False,286
10565-1,LEGO® DUPLO® Creative Suitcase,2014,135.0,Duplo,Duplo,False,286
10566-1,Creative Picnic,2014,52.0,Duplo,Duplo,False,286
10567-1,Toddler Build and Boat Fun,2014,18.0,Duplo,Duplo,False,286
10568-1,Knight Tournament,2014,16.0,Duplo,Duplo,False,286
10569-1,Treasure Attack,2014,,Duplo,Duplo,False,286
10570-1,LEGO® DUPLO® All-in-One-Gift-Set,2014,30.0,Duplo,Duplo,False,286
10571-1,All-in-One-Pink-Box-of-Fun,2014,65.0,Duplo,Duplo,False,286
10572-1,All-in-One-Box-of-Fun,2014,65.0,Duplo,Duplo,False,286
10573-1,Creative Animals,2014,25.0,Duplo,Duplo,False,286
10574-1,Creative Ice Cream,2014,24.0,Duplo,Duplo,False,286
10575-1,Duplo Creative Building Cube,2014,,Duplo,Duplo,False,286
10576-1,Zoo Care,2014,9.0,Duplo,Duplo,False,286
10577-1,Big Royal Castle,2014,135.0,Duplo,Duplo,False,286
10579-1,Clubhouse Café,2014,16.0,Duplo,Duplo,False,286
10580-1,Deluxe Box of Fun,2014,,Duplo,Duplo,False,286
10581-1,Forest: Ducks,2015,,Duplo,Duplo,False,286
10582-1,Forest: Animals,2015,,Duplo,Duplo,False,286
10583-1,Forest: Fishing Trip,2015,,Duplo,Duplo,False,286
10584-1,Forest: Park,2015,105.0,Duplo,Duplo,False,286
10585-1,Mom and Baby,2015,13.0,Duplo,Duplo,False,286
10586-1,Ice Cream Truck,2015,,Duplo,Duplo,False,286
10587-1,Café,2015,,Duplo,Duplo,False,286
10589-1,Rally Car,2015,,Duplo,Duplo,False,286
10590-1,Airport,2015,29.0,Duplo,Duplo,False,286
10591-1,Fire Boat,2015,19.0,Duplo,Duplo,False,286
10592-1,Fire Truck,2015,26.0,Duplo,Duplo,False,286
10593-1,Fire Station,2015,104.0,Duplo,Duplo,False,286
10594-1,Sofia the First™ Royal Stable,2015,38.0,Duplo,Duplo,False,286
10595-1,Sofia the First™ Royal Castle,2015,87.0,Duplo,Duplo,False,286
10596-1,Disney Princess™ Collection,2015,63.0,Duplo,Duplo,False,286
10597-1,Mickey & Minnie Birthday Parade,2015,,Duplo,Duplo,False,286
10599-1,Batman Adventure,2015,46.0,Duplo,Duplo,False,286
10600-1,Disney • Pixar Cars™ Classic Race,2015,,Cars,Duplo,False,286
1060-1,Road Plates and Signs,1981,30.0,Town,Educational and Dacta,False,333
10601-1,Delivery Vehicle,2015,19.0,Duplo,Duplo,False,286
10602-1,Camping,2015,37.0,Duplo,Duplo,False,286
10603-1,My First Bus,2015,,Duplo,Duplo,False,286
10604-1,Jake and the Never Land Pirates Treasure Island,2015,25.0,Duplo,Duplo,False,286
10605-1,Doc McStuffins Rosie the Ambulance,2015,16.0,Duplo,Duplo,False,286
10606-1,Doc McStuffins Backyard Clinic,2015,39.0,Duplo,Duplo,False,286
10607-1,Spider-Man Web-Bike Workshop,2015,13.0,Duplo,Duplo,False,286
10608-1,Spider-Man Spider Truck Adventure,2015,28.0,Duplo,Duplo,False,286
106-1,UNICEF Van,1985,59.0,Off-Road,Town,False,1116
1061-1,Single Disk Pack,2000,,Throwbot Slizer,Technic,False,536
10615-1,My First Tractor,2015,12.0,Duplo,Duplo,False,286
10616-1,My First Playhouse,2015,25.0,Duplo,Duplo,False,286
10617-1,My First Farm,2015,,Duplo,Duplo,False,286
10618-1,LEGO® DUPLO® Creative Building Box,2015,69.0,Duplo,Duplo,False,286
1062-1,{Town Vehicles},1980,,Town,Educational and Dacta,False,333
10622-1,Large Creative Box,2015,193.0,Duplo,Duplo,False,286
10623-1,Basic Bricks – Large,2015,0.0,Basic Set,Duplo,False,286
1063-1,Community Workers,1985,,Town,Educational and Dacta,False,333
1064-1,Dacta Buildings,1981,419.0,Town,Educational and Dacta,False,333
1065-1,House Accessories - 182 elements,1985,196.0,Universal Building Set,Educational and Dacta,False,333
10654-1,XL Creative Brick Box,2016,1599.0,Classic,Classic,False,354
10655-1,Monster Trucks,2013,,Basic Set,Creator,False,421
10656-1,My First LEGO Princess,2013,88.0,Creator,Creator,False,421
10657-1,My First LEGO Set,2013,,Basic Set,Creator,False,421
10659-1,Blue Suitcase,2013,152.0,Basic Set,Creator,False,421
10660-1,Pink Suitcase,2013,,Basic Set,Creator,False,421
1066-1,36 Little People + Accessories,1982,,Town,Educational and Dacta,False,333
10661-1,My First LEGO Fire Station,2013,,Creator,Creator,False,421
10662-1,LEGO Creative Bucket,2013,,Basic Set,Creator,False,421
10663-1,LEGO Creative Chest,2013,607.0,Creator,Creator,False,421
10664-1,Creative Tower,2013,,Creator,Creator,False,421
10665-1,Spider-Man: Spider-Car Pursuit,2014,55.0,Juniors,Juniors,False,36
10666-1,Digger,2014,,Juniors,Juniors,False,36
